,Semana,medio ambiente: (Todo el mundo),cambio climático: (Todo el mundo),Huella de carbono: (Todo el mundo),Conservación de la naturaleza: (Todo el mundo)
76,2020-08-16,6,1,<1,<1
77,2020-08-23,9,1,<1,<1
78,2020-08-30,11,1,<1,<1
79,2020-09-06,12,1,<1,<1
80,2020-09-13,10,1,<1,<1
81,2020-09-20,11,1,<1,<1
82,2020-09-27,10,1,<1,<1
83,2020-10-04,10,1,<1,<1
84,2020-10-11,11,1,<1,<1
85,2020-10-18,13,1,1,<1
86,2020-10-25,12,1,<1,<1
87,2020-11-01,9,1,<1,<1
88,2020-11-08,11,1,<1,<1
89,2020-11-15,10,1,<1,<1
90,2020-11-22,10,1,<1,<1
91,2020-11-29,12,1,<1,<1
92,2020-12-06,8,1,<1,<1
93,2020-12-13,7,1,<1,<1
94,2020-12-20,2,<1,<1,0
95,2020-12-27,2,<1,<1,<1
96,2021-01-03,3,<1,<1,<1
97,2021-01-10,5,1,<1,<1
98,2021-01-17,7,1,<1,<1
99,2021-01-24,8,1,<1,<1
100,2021-01-31,8,1,<1,<1
101,2021-02-07,9,1,<1,<1
102,2021-02-14,9,1,<1,<1
103,2021-02-21,10,1,<1,<1
104,2021-02-28,11,1,<1,<1
105,2021-03-07,10,1,<1,<1
106,2021-03-14,10,1,<1,<1
107,2021-03-21,10,1,<1,<1
108,2021-03-28,5,1,<1,<1
109,2021-04-04,7,1,<1,<1
110,2021-04-11,9,1,<1,<1
111,2021-04-18,13,2,<1,<1
112,2021-04-25,12,2,<1,<1
113,2021-05-02,10,1,<1,<1
114,2021-05-09,10,1,<1,<1
115,2021-05-16,10,1,<1,<1
116,2021-05-23,15,1,<1,<1
117,2021-05-30,26,2,1,<1
118,2021-06-06,19,2,<1,<1
119,2021-06-13,15,1,<1,<1
120,2021-06-20,11,1,<1,<1
121,2021-06-27,8,1,<1,<1
122,2021-07-04,7,1,<1,<1
123,2021-07-11,6,1,<1,<1
124,2021-07-18,6,1,<1,<1
125,2021-07-25,5,1,<1,<1
126,2021-08-01,5,1,<1,<1
127,2021-08-08,7,1,<1,<1
128,2021-08-15,6,2,<1,<1
129,2021-08-22,8,2,<1,<1
130,2021-08-29,9,1,<1,<1
131,2021-09-05,10,1,<1,<1
132,2021-09-12,10,1,<1,<1
133,2021-09-19,10,1,<1,<1
134,2021-09-26,10,1,<1,<1
135,2021-10-03,9,1,<1,<1
136,2021-10-10,8,1,<1,<1
137,2021-10-17,10,4,<1,<1
138,2021-10-24,10,2,<1,<1
139,2021-10-31,9,2,<1,<1
140,2021-11-07,11,2,<1,<1
141,2021-11-14,10,2,<1,<1
142,2021-11-21,9,2,<1,<1
143,2021-11-28,8,1,<1,<1
144,2021-12-05,6,1,<1,<1
145,2021-12-12,5,1,<1,<1
146,2021-12-19,2,<1,<1,<1
147,2021-12-26,2,<1,<1,0
148,2022-01-02,4,1,<1,<1
149,2022-01-09,5,1,<1,<1
150,2022-01-16,6,1,<1,<1
151,2022-01-23,8,1,<1,<1
152,2022-01-30,9,1,<1,<1
153,2022-02-06,9,1,<1,<1
154,2022-02-13,11,2,<1,<1
155,2022-02-20,11,2,<1,<1
156,2022-02-27,12,2,<1,<1
157,2022-03-06,12,2,<1,<1
158,2022-03-13,12,2,<1,<1
159,2022-03-20,12,2,<1,<1
160,2022-03-27,12,2,<1,<1
161,2022-04-03,11,2,<1,<1
162,2022-04-10,5,1,<1,<1
163,2022-04-17,11,100,<1,<1
164,2022-04-24,14,5,<1,<1
165,2022-05-01,12,3,<1,<1
166,2022-05-08,12,2,<1,<1
167,2022-05-15,12,2,<1,<1
168,2022-05-22,15,2,<1,<1
169,2022-05-29,27,2,1,<1
170,2022-06-05,33,2,1,<1
171,2022-06-12,16,2,<1,<1
172,2022-06-19,12,2,<1,<1
173,2022-06-26,10,2,<1,<1
174,2022-07-03,8,1,<1,<1
175,2022-07-10,8,1,<1,<1
176,2022-07-17,7,1,<1,<1
177,2022-07-24,6,1,<1,<1
178,2022-07-31,7,1,<1,<1
179,2022-08-07,8,1,<1,<1
180,2022-08-14,9,1,<1,<1
181,2022-08-21,9,1,<1,<1
182,2022-08-28,10,1,<1,<1
183,2022-09-04,11,2,<1,<1
184,2022-09-11,10,1,<1,<1
185,2022-09-18,11,2,<1,<1
186,2022-09-25,12,2,<1,<1
187,2022-10-02,12,2,<1,<1
188,2022-10-09,10,1,<1,<1
189,2022-10-16,12,2,1,<1
190,2022-10-23,13,2,1,<1
191,2022-10-30,10,2,<1,<1
192,2022-11-06,11,2,<1,<1
193,2022-11-13,11,2,<1,<1
194,2022-11-20,10,2,<1,<1
195,2022-11-27,8,2,<1,<1
196,2022-12-04,7,1,<1,<1
197,2022-12-11,5,1,<1,<1
198,2022-12-18,2,<1,<1,<1
199,2022-12-25,2,<1,<1,0
200,2023-01-01,3,<1,<1,<1
201,2023-01-08,5,1,<1,<1
202,2023-01-15,7,1,<1,<1
203,2023-01-22,8,2,<1,<1
204,2023-01-29,7,1,<1,<1
205,2023-02-05,8,1,<1,<1
206,2023-02-12,9,1,<1,<1
207,2023-02-19,9,1,<1,<1
208,2023-02-26,10,1,<1,<1
209,2023-03-05,10,1,<1,<1
210,2023-03-12,10,2,<1,<1
211,2023-03-19,9,2,<1,<1
212,2023-03-26,11,2,<1,<1
213,2023-04-02,4,1,<1,<1
214,2023-04-09,8,1,<1,<1
215,2023-04-16,12,9,1,<1
216,2023-04-23,11,2,1,<1
217,2023-04-30,9,2,<1,<1
218,2023-05-07,10,2,<1,<1
219,2023-05-14,11,2,<1,<1
220,2023-05-21,12,2,<1,<1
221,2023-05-28,20,2,1,<1
222,2023-06-04,35,2,1,<1
223,2023-06-11,15,2,<1,<1
224,2023-06-18,11,1,<1,<1
225,2023-06-25,9,1,<1,<1
226,2023-07-02,7,1,<1,<1
227,2023-07-09,6,1,<1,<1
228,2023-07-16,6,1,<1,<1
229,2023-07-23,5,1,<1,<1
230,2023-07-30,5,1,<1,<1
231,2023-08-06,6,1,<1,<1
232,2023-08-13,7,1,<1,<1
233,2023-08-20,7,1,<1,<1
234,2023-08-27,8,1,<1,<1
235,2023-09-03,8,1,<1,<1
236,2023-09-10,8,1,<1,<1
237,2023-09-17,9,2,<1,<1
238,2023-09-24,9,2,<1,<1
239,2023-10-01,11,2,<1,<1
240,2023-10-08,9,2,<1,<1
241,2023-10-15,11,2,<1,<1
242,2023-10-22,11,3,<1,<1
243,2023-10-29,8,2,<1,<1
244,2023-11-05,10,2,<1,<1
245,2023-11-12,9,2,<1,<1
246,2023-11-19,8,2,<1,<1
247,2023-11-26,8,2,<1,<1
248,2023-12-03,6,1,<1,<1
249,2023-12-10,5,1,<1,<1
250,2023-12-17,3,1,<1,<1
251,2023-12-24,1,<1,<1,<1
252,2023-12-31,2,<1,<1,<1
253,2024-01-07,4,1,<1,<1
254,2024-01-14,5,1,<1,<1
255,2024-01-21,8,1,<1,<1
256,2024-01-28,7,1,<1,<1
257,2024-02-04,7,1,<1,<1
258,2024-02-11,7,1,<1,<1
259,2024-02-18,8,1,<1,<1
260,2024-02-25,8,1,<1,<1
261,2024-03-03,0,0,0,0
262,2024-03-10,0,0,0,0
