Categoría: Todas las categorías

Semana,medio ambiente: (Todo el mundo),cambio climático: (Todo el mundo),Huella de carbono: (Todo el mundo),Conservación de la naturaleza: (Todo el mundo),Desarrollo sostenible: (Todo el mundo)
2020-02-23,7,1,<1,<1,2
2020-03-01,8,1,<1,<1,1
2020-03-08,8,1,<1,<1,1
2020-03-15,6,1,<1,<1,1
2020-03-22,8,1,<1,<1,1
2020-03-29,8,1,<1,<1,1
2020-04-05,4,<1,<1,<1,1
2020-04-12,7,1,<1,<1,1
2020-04-19,13,1,<1,<1,2
2020-04-26,11,1,<1,<1,2
2020-05-03,13,1,<1,<1,2
2020-05-10,13,1,<1,<1,2
2020-05-17,13,1,<1,<1,2
2020-05-24,15,1,<1,<1,2
2020-05-31,31,1,<1,<1,2
2020-06-07,16,1,<1,<1,2
2020-06-14,10,1,<1,<1,2
2020-06-21,9,1,<1,<1,2
2020-06-28,8,1,<1,<1,2
2020-07-05,9,1,<1,<1,1
2020-07-12,7,1,<1,<1,1
2020-07-19,6,1,<1,<1,1
2020-07-26,5,1,<1,<1,1
2020-08-02,6,<1,<1,<1,1
2020-08-09,6,1,<1,<1,1
2020-08-16,6,1,<1,<1,1
2020-08-23,9,1,<1,<1,2
2020-08-30,11,1,<1,<1,2
2020-09-06,12,1,<1,<1,2
2020-09-13,10,1,<1,<1,2
2020-09-20,11,1,<1,<1,2
2020-09-27,10,1,<1,<1,2
2020-10-04,10,1,<1,<1,1
2020-10-11,11,1,<1,<1,2
2020-10-18,13,1,1,<1,2
2020-10-25,12,1,<1,<1,1
2020-11-01,9,1,<1,<1,1
2020-11-08,11,1,<1,<1,1
2020-11-15,10,1,<1,<1,2
2020-11-22,10,1,<1,<1,1
2020-11-29,12,1,<1,<1,2
2020-12-06,8,1,<1,<1,1
2020-12-13,7,1,<1,<1,1
2020-12-20,2,<1,<1,0,<1
2020-12-27,2,<1,<1,<1,<1
2021-01-03,3,<1,<1,<1,<1
2021-01-10,5,1,<1,<1,1
2021-01-17,7,1,<1,<1,1
2021-01-24,8,1,<1,<1,1
2021-01-31,8,1,<1,<1,1
2021-02-07,9,1,<1,<1,1
2021-02-14,9,1,<1,<1,2
2021-02-21,10,1,<1,<1,2
2021-02-28,11,1,<1,<1,2
2021-03-07,10,1,<1,<1,2
2021-03-14,10,1,<1,<1,2
2021-03-21,10,1,<1,<1,1
2021-03-28,5,1,<1,<1,1
2021-04-04,7,1,<1,<1,1
2021-04-11,9,1,<1,<1,2
2021-04-18,13,2,<1,<1,2
2021-04-25,12,2,<1,<1,2
2021-05-02,10,1,<1,<1,2
2021-05-09,10,1,<1,<1,2
2021-05-16,10,1,<1,<1,2
2021-05-23,15,1,<1,<1,2
2021-05-30,26,2,1,<1,2
2021-06-06,19,2,<1,<1,2
2021-06-13,15,1,<1,<1,2
2021-06-20,11,1,<1,<1,2
2021-06-27,8,1,<1,<1,1
2021-07-04,7,1,<1,<1,2
2021-07-11,6,1,<1,<1,2
2021-07-18,6,1,<1,<1,1
2021-07-25,5,1,<1,<1,1
2021-08-01,5,1,<1,<1,1
2021-08-08,7,1,<1,<1,1
2021-08-15,6,2,<1,<1,1
2021-08-22,8,2,<1,<1,1
2021-08-29,9,1,<1,<1,1
2021-09-05,10,1,<1,<1,2
2021-09-12,10,1,<1,<1,2
2021-09-19,10,1,<1,<1,2
2021-09-26,10,1,<1,<1,2
2021-10-03,9,1,<1,<1,2
2021-10-10,8,1,<1,<1,1
2021-10-17,10,4,<1,<1,1
2021-10-24,10,2,<1,<1,2
2021-10-31,9,2,<1,<1,1
2021-11-07,11,2,<1,<1,2
2021-11-14,10,2,<1,<1,2
2021-11-21,9,2,<1,<1,2
2021-11-28,8,1,<1,<1,1
2021-12-05,6,1,<1,<1,1
2021-12-12,5,1,<1,<1,1
2021-12-19,2,<1,<1,<1,<1
2021-12-26,2,<1,<1,0,<1
2022-01-02,4,1,<1,<1,1
2022-01-09,5,1,<1,<1,1
2022-01-16,6,1,<1,<1,1
2022-01-23,8,1,<1,<1,1
2022-01-30,9,1,<1,<1,1
2022-02-06,9,1,<1,<1,2
2022-02-13,11,2,<1,<1,2
2022-02-20,11,2,<1,<1,2
2022-02-27,12,2,<1,<1,3
2022-03-06,12,2,<1,<1,2
2022-03-13,12,2,<1,<1,3
2022-03-20,12,2,<1,<1,2
2022-03-27,12,2,<1,<1,2
2022-04-03,11,2,<1,<1,2
2022-04-10,5,1,<1,<1,1
2022-04-17,11,100,<1,<1,2
2022-04-24,14,5,<1,<1,2
2022-05-01,12,3,<1,<1,2
2022-05-08,12,2,<1,<1,2
2022-05-15,12,2,<1,<1,2
2022-05-22,15,2,<1,<1,2
2022-05-29,27,2,1,<1,2
2022-06-05,33,2,1,<1,2
2022-06-12,16,2,<1,<1,2
2022-06-19,12,2,<1,<1,2
2022-06-26,10,2,<1,<1,1
2022-07-03,8,1,<1,<1,1
2022-07-10,8,1,<1,<1,1
2022-07-17,7,1,<1,<1,1
2022-07-24,6,1,<1,<1,1
2022-07-31,7,1,<1,<1,1
2022-08-07,8,1,<1,<1,2
2022-08-14,9,1,<1,<1,2
2022-08-21,9,1,<1,<1,2
2022-08-28,10,1,<1,<1,2
2022-09-04,11,2,<1,<1,2
2022-09-11,10,1,<1,<1,2
2022-09-18,11,2,<1,<1,2
2022-09-25,12,2,<1,<1,2
2022-10-02,12,2,<1,<1,2
2022-10-09,10,1,<1,<1,2
2022-10-16,12,2,1,<1,2
2022-10-23,13,2,1,<1,2
2022-10-30,10,2,<1,<1,2
2022-11-06,11,2,<1,<1,2
2022-11-13,11,2,<1,<1,2
2022-11-20,10,2,<1,<1,2
2022-11-27,8,2,<1,<1,2
2022-12-04,7,1,<1,<1,1
2022-12-11,5,1,<1,<1,1
2022-12-18,2,<1,<1,<1,1
2022-12-25,2,<1,<1,0,<1
2023-01-01,3,<1,<1,<1,1
2023-01-08,5,1,<1,<1,1
2023-01-15,7,1,<1,<1,1
2023-01-22,8,2,<1,<1,1
2023-01-29,7,1,<1,<1,2
2023-02-05,8,1,<1,<1,2
2023-02-12,9,1,<1,<1,2
2023-02-19,9,1,<1,<1,2
2023-02-26,10,1,<1,<1,2
2023-03-05,10,1,<1,<1,2
2023-03-12,10,2,<1,<1,2
2023-03-19,9,2,<1,<1,2
2023-03-26,11,2,<1,<1,2
2023-04-02,4,1,<1,<1,1
2023-04-09,8,1,<1,<1,2
2023-04-16,12,9,1,<1,2
2023-04-23,11,2,1,<1,2
2023-04-30,9,2,<1,<1,2
2023-05-07,10,2,<1,<1,2
2023-05-14,11,2,<1,<1,2
2023-05-21,12,2,<1,<1,2
2023-05-28,20,2,1,<1,2
2023-06-04,35,2,1,<1,2
2023-06-11,15,2,<1,<1,2
2023-06-18,11,1,<1,<1,2
2023-06-25,9,1,<1,<1,1
2023-07-02,7,1,<1,<1,1
2023-07-09,6,1,<1,<1,1
2023-07-16,6,1,<1,<1,1
2023-07-23,5,1,<1,<1,1
2023-07-30,5,1,<1,<1,1
2023-08-06,6,1,<1,<1,1
2023-08-13,7,1,<1,<1,1
2023-08-20,7,1,<1,<1,2
2023-08-27,8,1,<1,<1,2
2023-09-03,8,1,<1,<1,2
2023-09-10,8,1,<1,<1,2
2023-09-17,9,2,<1,<1,2
2023-09-24,9,2,<1,<1,2
2023-10-01,11,2,<1,<1,2
2023-10-08,9,2,<1,<1,2
2023-10-15,11,2,<1,<1,2
2023-10-22,11,3,<1,<1,2
2023-10-29,8,2,<1,<1,1
2023-11-05,10,2,<1,<1,2
2023-11-12,9,2,<1,<1,2
2023-11-19,8,2,<1,<1,2
2023-11-26,8,2,<1,<1,2
2023-12-03,6,1,<1,<1,1
2023-12-10,5,1,<1,<1,1
2023-12-17,3,1,<1,<1,1
2023-12-24,1,<1,<1,<1,<1
2023-12-31,2,<1,<1,<1,<1
2024-01-07,4,1,<1,<1,1
2024-01-14,5,1,<1,<1,1
2024-01-21,8,1,<1,<1,1
2024-01-28,7,1,<1,<1,1
2024-02-04,7,1,<1,<1,1
2024-02-11,7,1,<1,<1,2
2024-02-18,8,1,<1,<1,2
2024-02-25,8,1,<1,<1,2
2024-03-03,0,0,0,0,0
2024-03-10,0,0,0,0,0
